juris,2010,2015,2020,2025,2030,2035,2040,2045,2050
Alameda,43,43,43,43,43,43,43,43,43
Alameda County,69,69,69,69,69,69,69,69,69
Albany,11,11,11,11,11,11,11,11,11
American Canyon,8,8,8,8,8,8,8,8,8
Antioch,46,46,46,46,46,46,46,46,46
Atherton,3,3,3,3,3,3,3,3,3
Belmont,15,15,15,15,15,15,15,15,15
Belvedere,1,1,1,1,1,1,1,1,1
Benicia,15,15,15,15,15,15,15,15,15
Berkeley,66,66,66,66,66,66,66,66,66
Brentwood,24,24,24,24,24,24,24,24,24
Brisbane,3,3,3,3,3,3,3,3,3
Burlingame,18,18,18,18,18,18,18,18,18
Calistoga,3,3,3,3,3,3,3,3,3
Campbell,23,23,23,23,23,23,23,23,23
Clayton,6,6,6,6,6,6,6,6,6
Cloverdale,5,5,5,5,5,5,5,5,5
Colma,1,1,1,1,1,1,1,1,1
Concord,63,63,63,63,63,63,63,63,63
Contra Costa County,82,82,82,82,82,82,82,82,82
Corte Madera,5,5,5,5,5,5,5,5,5
Cotati,4,4,4,4,4,4,4,4,4
Cupertino,29,29,29,29,29,29,29,29,29
Daly City,44,44,44,44,44,44,44,44,44
Danville,22,22,22,22,22,22,22,22,22
Dixon,8,8,8,8,8,8,8,8,8
Dublin,21,21,21,21,21,21,21,21,21
East Palo Alto,10,10,10,10,10,10,10,10,10
El Cerrito,14,14,14,14,14,14,14,14,14
Emeryville,8,8,8,8,8,8,8,8,8
Fairfax,5,5,5,5,5,5,5,5,5
Fairfield,49,49,49,49,49,49,49,49,49
Foster City,17,17,17,17,17,17,17,17,17
Fremont,101,101,101,101,101,101,101,101,101
Gilroy,20,20,20,20,20,20,20,20,20
Half Moon Bay,6,6,6,6,6,6,6,6,6
Hayward,65,65,65,65,65,65,65,65,65
Healdsburg,6,6,6,6,6,6,6,6,6
Hercules,12,12,12,12,12,12,12,12,12
Hillsborough,5,5,5,5,5,5,5,5,5
Lafayette,13,13,13,13,13,13,13,13,13
Larkspur,8,8,8,8,8,8,8,8,8
Livermore,42,42,42,42,42,42,42,42,42
Los Altos,15,15,15,15,15,15,15,15,15
Los Altos Hills,4,4,4,4,4,4,4,4,4
Los Gatos,18,18,18,18,18,18,18,18,18
Marin County,37,37,37,37,37,37,37,37,37
Martinez,20,20,20,20,20,20,20,20,20
Menlo Park,18,18,18,18,18,18,18,18,18
Mill Valley,9,9,9,9,9,9,9,9,9
Millbrae,11,11,11,11,11,11,11,11,11
Milpitas,27,27,27,27,27,27,27,27,27
Monte Sereno,2,2,2,2,2,2,2,2,2
Moraga,8,8,8,8,8,8,8,8,8
Morgan Hill,18,18,18,18,18,18,18,18,18
Mountain View,46,46,46,46,46,46,46,46,46
Napa,40,40,40,40,40,40,40,40,40
Napa County,14,14,14,14,14,14,14,14,14
Newark,19,19,19,19,19,19,19,19,19
Novato,29,29,29,29,29,29,29,29,29
Oakland,220,220,220,220,220,220,220,220,220
Oakley,15,15,15,15,15,15,15,15,15
Orinda,9,9,9,9,9,9,9,9,9
Pacifica,20,20,20,20,20,20,20,20,20
Palo Alto,38,38,38,38,38,38,38,38,38
Petaluma,31,31,31,31,31,31,31,31,31
Piedmont,5,5,5,5,5,5,5,5,5
Pinole,10,10,10,10,10,10,10,10,10
Pittsburg,28,28,28,28,28,28,28,28,28
Pleasant Hill,20,20,20,20,20,20,20,20,20
Pleasanton,36,36,36,36,36,36,36,36,36
Portola Valley,2,2,2,2,2,2,2,2,2
Redwood City,40,40,40,40,40,40,40,40,40
Richmond,52,52,52,52,52,52,52,52,52
Rio Vista,5,5,5,5,5,5,5,5,5
Rohnert Park,23,23,23,23,23,23,23,23,23
Ross,1,1,1,1,1,1,1,1,1
San Anselmo,7,7,7,7,7,7,7,7,7
San Bruno,21,21,21,21,21,21,21,21,21
San Carlos,16,16,16,16,16,16,16,16,16
San Francisco,494,494,494,494,494,494,494,494,494
San Jose,431,431,431,431,431,431,431,431,431
San Leandro,44,44,44,44,44,44,44,44,44
San Mateo,55,55,55,55,55,55,55,55,55
San Mateo County,30,30,30,30,30,30,30,30,30
San Pablo,13,13,13,13,13,13,13,13,13
San Rafael,33,33,33,33,33,33,33,33,33
San Ramon,36,36,36,36,36,36,36,36,36
Santa Clara,61,61,61,61,61,61,61,61,61
Santa Clara County,40,40,40,40,40,40,40,40,40
Santa Rosa,91,91,91,91,91,91,91,91,91
Saratoga,15,15,15,15,15,15,15,15,15
Sausalito,6,6,6,6,6,6,6,6,6
Sebastopol,5,5,5,5,5,5,5,5,5
Solano County,10,10,10,10,10,10,10,10,10
Sonoma,7,7,7,7,7,7,7,7,7
Sonoma County,81,81,81,81,81,81,81,81,81
South San Francisco,30,30,30,30,30,30,30,30,30
St. Helena,3,3,3,3,3,3,3,3,3
Suisun City,13,13,13,13,13,13,13,13,13
Sunnyvale,76,76,76,76,76,76,76,76,76
Tiburon,5,5,5,5,5,5,5,5,5
Union City,29,29,29,29,29,29,29,29,29
Vacaville,44,44,44,44,44,44,44,44,44
Vallejo,58,58,58,58,58,58,58,58,58
Walnut Creek,43,43,43,43,43,43,43,43,43
Windsor,13,13,13,13,13,13,13,13,13
Woodside,3,3,3,3,3,3,3,3,3
Yountville,2,2,2,2,2,2,2,2,2
