census_id,name10
70098,Santa Rosa
62546,Rohnert Park
56784,Petaluma
68000,San Jose
55282,Palo Alto
47766,Milpitas
44112,Los Gatos
47710,Mill Valley
46114,Martinez
33000,Hayward
26000,Fremont
64140,St. Helena
81554,Vacaville
68252,San Mateo
60620,Richmond
56938,Piedmont
03092,Atherton
13882,Clayton
00562,Alameda
64434,San Anselmo
23182,Fairfield
62980,Ross
49670,Mountain View
17988,Danville
57764,Pleasant Hill
08142,Brentwood
02252,Antioch
57288,Pinole
43294,Los Altos Hills
81666,Vallejo
53070,Oakley
39122,Lafayette
81204,Union City
73262,South San Francisco
05108,Belmont
85922,Windsor
65070,San Carlos
65028,San Bruno
60102,Redwood City
54806,Pacifica
49187,Moraga
53000,Oakland
41992,Livermore
52582,Novato
58380,Portola Valley
29504,Gilroy
17610,Cupertino
78666,Tiburon
70364,Sausalito
68364,San Rafael
77000,Sunnyvale
69084,Santa Clara
10345,Campbell
17918,Daly City
31708,Half Moon Bay
54232,Orinda
33798,Hillsborough
67000,San Francisco
70280,Saratoga
25338,Foster City
09892,Calistoga
43280,Los Altos
49278,Morgan Hill
14190,Cloverdale
70770,Sebastopol
57456,Pittsburg
86440,Woodside
05290,Benicia
72646,Sonoma
47486,Millbrae
20956,East Palo Alto
23168,Fairfax
16462,Corte Madera
05164,Belvedere
16000,Concord
68294,San Pablo
21796,El Cerrito
22594,Emeryville
50916,Newark
19402,Dixon
46870,Menlo Park
83346,Walnut Creek
60984,Rio Vista
16560,Cotati
75630,Suisun City
01640,American Canyon
14736,Colma
33308,Hercules
08310,Brisbane
20018,Dublin
06000,Berkeley
33056,Healdsburg
68084,San Leandro
40438,Larkspur
57792,Pleasanton
50258,Napa
48956,Monte Sereno
86930,Yountville
00674,Albany
09066,Burlingame
68378,San Ramon
00085,Santa Clara County
00097,Sonoma County
00055,Napa County
00013,Contra Costa County
00001,Alameda County
00095,Solano County
00041,Marin County
00081,San Mateo County
